2-7-2015, assn57,, 2-6-2015, assigned
3-7-2015, assn58,, 3-6-2015, assigned
4-7-2015, assn59,, 4-6-2015, assigned
5-7-2015, assn60,, 5-6-2015, assigned
6-7-2015, assn61,, 6-6-2015, assigned
7-7-2015, assn62,, 7-6-2015, assigned
8-7-2015, assn63,, 8-6-2015, assigned
9-7-2015, assn64,, 9-6-2015, assigned
10-7-2015, assn65,, 10-6-2015, assigned
11-7-2015, assn66,, 11-6-2015, assigned
1-8-2015, assn67,, 1-7-2015, late
2-8-2015, assn68,, 2-7-2015, late
3-8-2015, assn69,, 3-7-2015, late
4-8-2015, assn70,, 4-7-2015, late
5-8-2015, assn71,, 5-7-2015, late
6-8-2015, assn72,, 6-7-2015, late
7-8-2015, assn73,, 7-7-2015, late
8-8-2015, assn74,, 8-7-2015, late
9-8-2015, assn75,, 9-7-2015, late
10-8-2015, assn76,, 10-7-2015, late
11-8-2015, assn77,, 11-7-2015, late
1-9-2015, assn78,, 1-8-2015, assigned
2-9-2015, assn79,, 2-8-2015, assigned
3-9-2015, assn80,, 3-8-2015, assigned
4-9-2015, assn81,, 4-8-2015, assigned
5-9-2015, assn82,, 5-8-2015, assigned
6-9-2015, assn83,, 6-8-2015, assigned
7-9-2015, assn84,, 7-8-2015, assigned
8-9-2015, assn85,, 8-8-2015, assigned
9-9-2015, assn86,, 9-8-2015, assigned
10-9-2015, assn87,, 10-8-2015, assigned
11-9-2015, assn88,, 11-8-2015, assigned
1-10-2015, assn89,, 1-9-2015, completed
2-10-2015, assn90,, 2-9-2015, completed
3-10-2015, assn91,, 3-9-2015, completed
4-10-2015, assn92,, 4-9-2015, completed
5-10-2015, assn93,, 5-9-2015, completed
6-10-2015, assn94,, 6-9-2015, completed
7-10-2015, assn95,, 7-9-2015, completed
8-10-2015, assn96,, 8-9-2015, completed
9-10-2015, assn97,, 9-9-2015, completed
10-10-2015, assn98,, 10-9-2015, completed
11-10-2015, assn99,, 11-9-2015, completed
1-11-2015, assn100,, 1-10-2015, assigned
2-11-2015, assn101,, 2-10-2015, assigned
3-11-2015, assn102,, 3-10-2015, assigned
4-11-2015, assn103,, 4-10-2015, assigned
5-11-2015, assn104,, 5-10-2015, assigned
6-11-2015, assn105,, 6-10-2015, assigned
7-11-2015, assn106,, 7-10-2015, assigned
8-11-2015, assn107,, 8-10-2015, assigned
9-11-2015, assn108,, 9-10-2015, assigned
10-11-2015, assn109,, 10-10-2015, assigned
11-11-2015, assn110,, 11-10-2015, assigned
1-12-2015, assn111,, 1-11-2015, late
2-12-2015, assn112,, 2-11-2015, late
3-12-2015, assn113,, 3-11-2015, late
4-12-2015, assn114,, 4-11-2015, late
5-12-2015, assn115,, 5-11-2015, late
6-12-2015, assn116,, 6-11-2015, late
7-12-2015, assn117,, 7-11-2015, late
8-12-2015, assn118,, 8-11-2015, late
9-12-2015, assn119,, 9-11-2015, late
10-12-2015, assn120,, 10-11-2015, late
11-12-2015, assn121,, 11-11-2015, late
1-13-2015, assn122,, 1-12-2015, assigned
2-13-2015, assn123,, 2-12-2015, assigned
3-13-2015, assn124,, 3-12-2015, assigned
4-13-2015, assn125,, 4-12-2015, assigned
5-13-2015, assn126,, 5-12-2015, assigned
6-13-2015, assn127,, 6-12-2015, assigned
7-13-2015, assn128,, 7-12-2015, assigned
8-13-2015, assn129,, 8-12-2015, assigned
9-13-2015, assn130,, 9-12-2015, assigned
10-13-2015, assn131,, 10-12-2015, assigned
11-13-2015, assn132,, 11-12-2015, assigned
1-14-2015, assn133,, 1-13-2015, late
2-14-2015, assn134,, 2-13-2015, late
3-14-2015, assn135,, 3-13-2015, late
4-14-2015, assn136,, 4-13-2015, late
5-14-2015, assn137,, 5-13-2015, late
6-14-2015, assn138,, 6-13-2015, late
7-14-2015, assn139,, 7-13-2015, late
8-14-2015, assn140,, 8-13-2015, late
9-14-2015, assn141,, 9-13-2015, late
10-14-2015, assn142,, 10-13-2015, late
11-14-2015, assn143,, 11-13-2015, late
1-15-2015, assn144,, 1-14-2015, assigned
2-15-2015, assn145,, 2-14-2015, assigned
3-15-2015, assn146,, 3-14-2015, assigned
4-15-2015, assn147,, 4-14-2015, assigned
5-15-2015, assn148,, 5-14-2015, assigned
6-15-2015, assn149,, 6-14-2015, assigned
7-15-2015, assn150,, 7-14-2015, assigned
8-15-2015, assn151,, 8-14-2015, assigned
9-15-2015, assn152,, 9-14-2015, assigned
10-15-2015, assn153,, 10-14-2015, assigned
11-15-2015, assn154,, 11-14-2015, assigned
1-16-2015, assn155,, 1-15-2015, completed
2-16-2015, assn156,, 2-15-2015, completed
3-16-2015, assn157,, 3-15-2015, completed
4-16-2015, assn158,, 4-15-2015, completed
5-16-2015, assn159,, 5-15-2015, completed
6-16-2015, assn160,, 6-15-2015, completed
7-16-2015, assn161,, 7-15-2015, completed
8-16-2015, assn162,, 8-15-2015, completed
9-16-2015, assn163,, 9-15-2015, completed
10-16-2015, assn164,, 10-15-2015, completed
11-16-2015, assn165,, 11-15-2015, completed
1-17-2015, assn166,, 1-16-2015, assigned
2-17-2015, assn167,, 2-16-2015, assigned
3-17-2015, assn168,, 3-16-2015, assigned
4-17-2015, assn169,, 4-16-2015, assigned
5-17-2015, assn170,, 5-16-2015, assigned
6-17-2015, assn171,, 6-16-2015, assigned
7-17-2015, assn172,, 7-16-2015, assigned
8-17-2015, assn173,, 8-16-2015, assigned
9-17-2015, assn174,, 9-16-2015, assigned
10-17-2015, assn175,, 10-16-2015, assigned
11-17-2015, assn176,, 11-16-2015, assigned
1-18-2015, assn177,, 1-17-2015, late
2-18-2015, assn178,, 2-17-2015, late
3-18-2015, assn179,, 3-17-2015, late
4-18-2015, assn180,, 4-17-2015, late
5-18-2015, assn181,, 5-17-2015, late
6-18-2015, assn182,, 6-17-2015, late
7-18-2015, assn183,, 7-17-2015, late
8-18-2015, assn184,, 8-17-2015, late
9-18-2015, assn185,, 9-17-2015, late
10-18-2015, assn186,, 10-17-2015, late
11-18-2015, assn187,, 11-17-2015, late
1-19-2015, assn188,, 1-18-2015, assigned
2-19-2015, assn189,, 2-18-2015, assigned
3-19-2015, assn190,, 3-18-2015, assigned
4-19-2015, assn191,, 4-18-2015, assigned
5-19-2015, assn192,, 5-18-2015, assigned
6-19-2015, assn193,, 6-18-2015, assigned
7-19-2015, assn194,, 7-18-2015, assigned
8-19-2015, assn195,, 8-18-2015, assigned
9-19-2015, assn196,, 9-18-2015, assigned
10-19-2015, assn197,, 10-18-2015, assigned
11-19-2015, assn198,, 11-18-2015, assigned
1-20-2015, assn199,, 1-19-2015, late
2-20-2015, assn200,, 2-19-2015, late
3-20-2015, assn201,, 3-19-2015, late
4-20-2015, assn202,, 4-19-2015, late
5-20-2015, assn203,, 5-19-2015, late
6-20-2015, assn204,, 6-19-2015, late
7-20-2015, assn205,, 7-19-2015, late
8-20-2015, assn206,, 8-19-2015, late
9-20-2015, assn207,, 9-19-2015, late
10-20-2015, assn208,, 10-19-2015, late
11-20-2015, assn209,, 11-19-2015, late
1-21-2015, assn210,, 1-20-2015, assigned
2-21-2015, assn211,, 2-20-2015, assigned
3-21-2015, assn212,, 3-20-2015, assigned
4-21-2015, assn213,, 4-20-2015, assigned
5-21-2015, assn214,, 5-20-2015, assigned
6-21-2015, assn215,, 6-20-2015, assigned
7-21-2015, assn216,, 7-20-2015, assigned
8-21-2015, assn217,, 8-20-2015, assigned
9-21-2015, assn218,, 9-20-2015, assigned
10-21-2015, assn219,, 10-20-2015, assigned
11-21-2015, assn220,, 11-20-2015, assigned
1-22-2015, assn221,, 1-21-2015, completed
2-22-2015, assn222,, 2-21-2015, completed
3-22-2015, assn223,, 3-21-2015, completed
4-22-2015, assn224,, 4-21-2015, completed
5-22-2015, assn225,, 5-21-2015, completed
6-22-2015, assn226,, 6-21-2015, completed
7-22-2015, assn227,, 7-21-2015, completed
8-22-2015, assn228,, 8-21-2015, completed
9-22-2015, assn229,, 9-21-2015, completed
10-22-2015, assn230,, 10-21-2015, completed
11-22-2015, assn231,, 11-21-2015, completed
1-23-2015, assn232,, 1-22-2015, assigned
2-23-2015, assn233,, 2-22-2015, assigned
3-23-2015, assn234,, 3-22-2015, assigned
4-23-2015, assn235,, 4-22-2015, assigned
5-23-2015, assn236,, 5-22-2015, assigned
6-23-2015, assn237,, 6-22-2015, assigned
7-23-2015, assn238,, 7-22-2015, assigned
8-23-2015, assn239,, 8-22-2015, assigned
9-23-2015, assn240,, 9-22-2015, assigned
10-23-2015, assn241,, 10-22-2015, assigned
11-23-2015, assn242,, 11-22-2015, assigned
1-24-2015, assn243,, 1-23-2015, late
2-24-2015, assn244,, 2-23-2015, late
3-24-2015, assn245,, 3-23-2015, late
4-24-2015, assn246,, 4-23-2015, late
5-24-2015, assn247,, 5-23-2015, late
6-24-2015, assn248,, 6-23-2015, late
7-24-2015, assn249,, 7-23-2015, late
8-24-2015, assn250,, 8-23-2015, late
9-24-2015, assn251,, 9-23-2015, late
10-24-2015, assn252,, 10-23-2015, late
11-24-2015, assn253,, 11-23-2015, late
1-25-2015, assn254,, 1-24-2015, assigned
2-25-2015, assn255,, 2-24-2015, assigned
3-25-2015, assn256,, 3-24-2015, assigned
4-25-2015, assn257,, 4-24-2015, assigned
5-25-2015, assn258,, 5-24-2015, assigned
6-25-2015, assn259,, 6-24-2015, assigned
7-25-2015, assn260,, 7-24-2015, assigned
8-25-2015, assn261,, 8-24-2015, assigned
9-25-2015, assn262,, 9-24-2015, assigned
10-25-2015, assn263,, 10-24-2015, assigned
11-25-2015, assn264,, 11-24-2015, assigned
1-26-2015, assn265,, 1-25-2015, late
2-26-2015, assn266,, 2-25-2015, late
3-26-2015, assn267,, 3-25-2015, late
4-26-2015, assn268,, 4-25-2015, late
5-26-2015, assn269,, 5-25-2015, late
6-26-2015, assn270,, 6-25-2015, late
7-26-2015, assn271,, 7-25-2015, late
8-26-2015, assn272,, 8-25-2015, late
9-26-2015, assn273,, 9-25-2015, late
10-26-2015, assn274,, 10-25-2015, late
11-26-2015, assn275,, 11-25-2015, late
1-27-2015, assn276,, 1-26-2015, assigned
2-27-2015, assn277,, 2-26-2015, assigned
3-27-2015, assn278,, 3-26-2015, assigned
4-27-2015, assn279,, 4-26-2015, assigned
5-27-2015, assn280,, 5-26-2015, assigned
6-27-2015, assn281,, 6-26-2015, assigned
7-27-2015, assn282,, 7-26-2015, assigned
8-27-2015, assn283,, 8-26-2015, assigned
9-27-2015, assn284,, 9-26-2015, assigned
10-27-2015, assn285,, 10-26-2015, assigned
11-27-2015, assn286,, 11-26-2015, assigned
1-28-2015, assn287,, 1-27-2015, completed
2-28-2015, assn288,, 2-27-2015, completed
3-28-2015, assn289,, 3-27-2015, completed
4-28-2015, assn290,, 4-27-2015, completed
5-28-2015, assn291,, 5-27-2015, completed
6-28-2015, assn292,, 6-27-2015, completed
7-28-2015, assn293,, 7-27-2015, completed
8-28-2015, assn294,, 8-27-2015, completed
9-28-2015, assn295,, 9-27-2015, completed
10-28-2015, assn296,, 10-27-2015, completed
11-28-2015, assn297,, 11-27-2015, completed
